"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21812","Search for an existing course successfully","","2026-07-10","broken","2026-07-10","","","",""
"","56104","Edit the course levels and verify they are displayed","","2026-08-20","broken","2026-08-20","","","",""
"","70314","Delete a course and verify it is removed from the course list","","2026-08-20","broken","2026-08-20","","","",""
"","59275","Edit a course category name and verify the updated name is displayed","","2026-08-20","broken","2026-08-20","","","",""
"","32222","Add a new pedagogy element","","2026-07-10","broken","2026-07-10","","","",""
"","26770","Search a course and verify it is displayed","","2026-08-20","broken","2026-08-20","","","",""
"","31821","Update a pedagogy element","","2026-07-10","broken","2026-07-10","","","",""
"","26485","Add a new course category and verify it is displayed in the list","","2026-08-20","passed","2026-08-20","","","",""
"","32374","Delete a pedagogy element","","2026-07-10","broken","2026-07-10","","","",""
"","38792","Search for an invalid course","","2026-07-10","broken","2026-07-10","","","",""
